TimeId,GT 1030,GTX 1050,GTX 1050Ti,GTX 1060,GTX 1070,GTX 1070Ti,GTX 1080,GTX 1080Ti,GT 710,GT 720,GT 730,GT 740,GTX 750,GTX 750Ti,GTX 760,GTX 770,GTX 780,GTX 780Ti,GTX 950,GTX 960,GTX 970,GTX 980,GTX 980Ti,GeForce Titan X,GTX 1060 3GB,GTX 1060 6GB,GTX 1650,RTX 2060,RTX 2070,RTX 2080,RTX 2080s,RTX 2080Ti
20130709,,,,,,,,,,,,,,,,440.9050868,,,,,,,,,226.86,395.99,154.99,369.99,758.99,885.99,879.99,1615.96
20130710,,,,,,,,,,,,,,,,440.8236539,,,,,,,,,213.425,395.99,154.99,369.99,758.99,885.99,879.98,1580.97
20130711,,,,,,,,,,,,,,,,443.7945883,,,,,,,,,199.99,395.99,154.99,369.99,758.99,879.98,879.98,1570.96
20130712,,,,,,,,,,,,,,,,450.4093148,,,,,,,,,204.99,395.99,154.99,369.99,758.99,879.98,879.98,1549.99
20130713,,,,,,,,,,,,,,,,451.1037506,,,,,,,,,209.99,395.99,154.99,369.99,758.99,879.98,879.98,1499.99
20130714,,,,,,,,,,,,,,,,451.1361706,,,,,,,,,209.99,395.99,154.99,369.99,763.96,879.98,879.98,1492
20130715,,,,,,,,,,,,,,,,451.1361706,,,,,,,,,209.99,395.99,154.99,369.99,758.99,879.98,878.95,1479.99
20130716,,,,,,,,,,,,,,,,450.0521311,,,,,,,,,204.99,395.99,154.99,369.99,753,879.98,878.95,1468.21
20130717,,,,,,,,,,,,,,,,452.6605637,,,,,,,,,199.99,395.99,154.99,369.99,689.99,878.95,878.95,1457.94
20130718,,,,,,,,,,,,,,,,452.5727804,,,,,,,,,199.99,385.49,154.99,369.99,689.99,878.95,878.95,1457.94
20130719,,,,,,,,,,,,,,,,451.4010898,,,,,,,,,199.99,374.99,154.99,369.99,689.99,878.95,878.95,1455.84
20130720,,,,,,,,,,,,,,,,452.3050845,,,,,,,,,203.49,374.99,154.99,384.29,689.99,878.95,878.95,1445.58
20130721,,,,,,,,,,,,,,,,452.1620254,,,,,,,,,206.99,374.99,154.99,384.29,689.99,878.95,878.95,1401.98
20130722,,,,,,,,,,,,,,,,452.0831553,,,,,,,,,216.7,374.99,154.99,369.99,689.99,878.95,878.95,1390.98
20130723,,,,,,,,,,,,,,,,453.3123628,,,,,,,,,226.41,374.99,154.99,349.99,689.99,878.95,878.95,1390.98
20130724,,,,,,,,,,,,,,,356.9266158,454.1067911,,,,,,,,,227.355,374.99,154.99,365.77,689.99,878.95,878.95,1397.71
20130725,,,,,,,,,,,,,,,381.8238152,452.8752151,,,,,,,,,228.3,374.99,154.99,365.77,689.99,878.95,878.95,1397.71
20130726,,,,,,,,,,,,,,,383.6086768,451.8528723,,,,,,,,,225.99,374.99,154.99,349.99,689.99,878.95,877.74,1397.71
20130727,,,,,,,,,,,,,,,364.408018,453.0625257,,,,,,,,,223.68,374.99,154.99,349.99,689.99,878.95,877.74,1468.88
20130728,,,,,,,,,,,,,,,363.2464446,452.8397095,,,,,,,,,224.95,387.965,154.99,349.99,689.99,878.95,877.74,1399.99
20130729,,,,,,,,,,,,,,,364.189252,452.8264305,,,,,,,,,226.22,400.94,154.99,349.99,689.99,877.74,877.74,1399.99
20130730,,,,,,,,,,,,,,,363.4616277,453.3626729,,,,,,,,,227.61,400.94,154.99,349.99,689.99,877.74,877.74,1399.99
20130731,,,,,,,,,,,,,,,362.9967271,457.9098703,,,,,,,,,229,400.94,154.99,349.99,689.99,877.74,877.74,1399.99
20130801,,,,,,,,,,,,,,,363.080644,458.8275161,,,,,,,,,236.5,383.755,154.99,349.99,685.99,877.74,877.74,1406.71
20130802,,,,,,,,,,,,,,,359.7142272,455.9675895,,,,,,,,,244,366.57,154.99,349.99,685.99,877.74,877.74,1406.71
20130803,,,,,,,,,,,,,,,356.2537363,453.1650614,,,,,,,,,226.995,348.7,154.99,349.99,685.99,877.74,872,1406.71
20130804,,,,,,,,,,,,,,,355.2928676,452.6630363,,,,,,,,,209.99,330.83,154.99,349.99,685.99,877.74,872,1406.71
20130805,,,,,,,,,,,,,,,354.482667,452.251295,,,,,,,,,209.99,301.55,154.99,349.99,685.99,877.74,984,1389.99
20130806,,,,,,,,,,,,,,,353.4840549,451.0906318,,,,,,,,,209.99,272.27,164.99,349.99,685.99,872,983,1339.99
20130807,,,,,,,,,,,,,,,354.1625101,452.4826091,,,,,,,,,209.99,251.135,164.99,349.99,685.99,872,889,1339.99
20130808,,,,,,,,,,,,,,,354.7902554,449.8509924,,,,,,,,,209.99,230,164.99,349.99,685.98,984,942,1339.99
20130809,,,,,,,,,,,,,,,355.5986882,450.9872164,,,,,,,,,209.99,231.68,164.99,349.99,684.82,983,925,1339.99
20130810,,,,,,,,,,,,,,,354.1464795,449.2564445,,,,,,,,,209.99,233.36,164.99,349.99,683.14,899.74,925,1339.99
20130811,,,,,,,,,,,,,,,353.1507251,448.2261744,,,,,,,,,209.99,243.74,164.99,349.99,681.44,942,925,1339.99
20130812,,,,,,,,,,,,,,,352.7504636,448.4930154,,,,,,,,,209.99,254.12,164.99,349.99,679.96,925,925,1339.99
20130813,,,,,,,,,,,,,,,351.9833497,448.9684027,,,,,,,,,209.99,254.01,164.99,349.99,684.96,925,919,1410
20130814,,,,,,,,,,,,,,,350.6869221,447.367793,,,,,,,,,209.99,253.9,164.99,349.99,679.99,925,910,1410
20130815,,,,,,,,,,,,,,,350.4792692,447.0352877,,,,,,,,,207.49,327.445,164.99,349.99,679.99,925,899,1410
20130816,,,,,,,,,,,,,,,359.1654943,449.0435455,,,,,,,,,204.99,400.99,164.99,349.99,675,919,879,1410
20130817,,,,,,,,,,,,,,,358.6700236,449.0268953,,,,,,,,,207.49,400.99,164.99,349.99,665.99,910,879,1410
20130818,,,,,,,,,,,,,,,357.2504231,448.312166,,,,,,,,,209.99,400.99,164.99,349.99,665.99,899,879,1415.99
20130819,,,,,,,,,,,,,,,357.3251931,448.0894713,,,,,,,,,209.99,370.45,164.99,349.99,665.99,879,869,1438.26
20130820,,,,,,,,,,,,,,,357.3025161,448.5797976,,,,,,,,,209.99,339.91,164.99,349.99,659.99,879,859,1439.99
20130821,,,,,,,,,,,,,,,359.0671017,450.5645473,,,,,,,,,206.305,339.91,164.99,349.99,659.99,879,859,1429
20130822,,,,,,,,,,,,,,,357.8478047,447.7945267,,,,,,,,,202.62,339.91,164.99,349.99,689.99,869,839,1439
20130823,,,,,,,,,,,,,,,357.5753202,447.06939,,,,,,,,,202.62,339.91,164.99,349.99,689.99,859,838,1439.99
20130824,,,,,,,,,,,,,,,358.1706765,447.2917007,,,,,,,,,202.62,339.91,164.99,349.99,689.99,859,819,1438.99
20130825,,,,,,,,,,,,,,,358.0743368,447.6799036,,,,,,,,,201.305,353.245,164.99,349.99,650,839,819,1429
20130826,,,,,,,,,,,,,,,358.0743368,447.6799036,,,,,,,,,199.99,366.58,164.99,349.99,650,839,819,1439.99
20130827,,,,,,,,,,,,,,,362.2460915,446.2639779,,,,,,,,,199.99,361.285,174.99,349.99,649.99,819,819,1429
20130828,,,,,,,,,,,,,,,362.8966378,447.0654092,,,,,,,,,199.99,355.99,174.99,349.99,569.97,819,819,1429.99
20130829,,,,,,,,,,,,,,,359.4620532,449.7374244,,,,,,,,,199.99,355.99,174.99,349.99,569.97,819,819,1424.99
20130830,,,,,,,,,,,,,,,357.1944185,446.916867,,,,,,,,,199.99,355.99,174.99,349.99,569.97,819,819,1424.99
20130831,,,,,,,,,,,,,,,355.534418,445.7655444,,,,,,,,,199.99,355.99,174.99,349.99,569.97,819,819,1424.99
20130901,,,,,,,,,,,,,,,355.7914777,445.6284623,,,,,,,,,199.99,355.99,164.99,345.95,569.97,819,819,1399.99
20130902,,,,,,,,,,,,,,,354.1903578,447.1874752,,,,,,,,,199.99,355.99,164.99,345.95,569.97,819,829,1413.99
20130903,,,,,,,,,,,,,,,353.4550445,446.275757,,,,,,,,,199.99,355.99,164.99,345.95,569.97,819,829,1428
20130904,,,,,,,,,,,,,,,352.8443183,445.4880161,,,,,,,,,199.99,355.99,164.99,345.95,569.97,819,859.99,1385
20130905,,,,,,,,,,,,,,,353.7094261,446.5969416,,,,,,,,,199.99,355.99,164.99,345.95,569.97,829,859.99,1385
20130906,,,,,,,,,,,,,,,355.167383,443.7001118,,,,,,,,,199.99,355.99,164.99,345.95,554.41,829,859.98,1385
20130907,,,,,,,,,,,,,,,356.3192368,445.1555326,,,,,,,,,199.99,355.99,164.99,345.95,554.41,860,859.98,1385
20130908,,,,,,,,,,,,,,,356.8486606,445.7346206,,,,,,,,,199.99,321.99,164.99,345.95,554.41,859.99,859,1379.99
20130909,,,,,,,,,,,,,,,356.8486606,445.1810603,,,,,,,,,199.99,287.99,164.99,372.49,554.41,859.98,849,1379
20130910,,,,,,,,,,,,,,,359.2254264,448.7034052,,,,,,,,,199.99,287.99,164.99,496.27,554.41,849,849,1374.99
20130911,,,,,,,,,,,,,,,360.0130026,448.7093586,,,,,,,,,199.99,287.99,164.99,496.27,554.41,859,849,1349.99
20130912,,,,,,,,,,,,,,,359.8924144,449.4361077,,,,,,,,,199.99,292.955,164.99,496.27,554.41,858.99,849,1374.99
20130913,,,,,,,,,,,,,,,359.3789897,448.4823176,,,,,,,,,199.99,297.92,164.99,496.27,689.99,849,848,1389
20130914,,,,,,,,,,,,,,,355.1632354,449.0354059,,,,,,,,,199.99,323.435,164.99,496.27,679.89,849,847.79,1389
20130915,,,,,,,,,,,,,,,354.6317168,448.4829141,,,,,,,,,199.99,348.95,164.99,496.08,689.99,849,846.99,1379
20130916,,,,,,,,,,,,,,,354.6051188,448.0706444,1147.426307,,,,,,,,199.99,348.95,164.99,349.99,689.99,848,846.99,1349.99
20130917,,,,,,,,,,,,,,,355.5773146,449.304053,1150.960612,,,,,,,,199.99,348.95,164.99,349.99,689.99,847.88,849,1387.99
20130918,,,,,,,,,,,,,,,355.6885588,449.9412173,1152.661252,,,,,,,,199.99,334.45,164.99,349.99,689.99,847.5,858,1384.99
20130919,,,,,,,,,,,,,,,354.6949003,449.0716102,1153.687752,,,,,,,,199.99,319.95,164.99,349.99,689,846.99,894.42,1379.99
20130920,,,,,,,,,,,,,,,358.770417,453.4577796,1115.822935,,,,,,,,199.99,318.95,164.99,349.99,680,846.99,940,1379.94
20130921,,,,,,,,,,,,,,,356.1491073,451.9666966,1116.383184,,,,,,,,199.99,317.95,164.99,349.99,680,849,940,1379.85
20130922,,,,,,,,,,,,,,,355.8711161,450.7150827,1115.596578,,,,,,,,199.99,316.45,164.99,422.68,678.99,858,915,1349.99
20130923,,,,,,,,,,,,,,,355.844068,450.7015586,1115.596578,,,,,,,,199.99,314.95,164.99,454.39,677,894.42,915,1339.95
20130924,,,,,,,,,,,,,,,355.2021385,450.5977413,1113.668735,,,,,,,,199.99,331.95,164.99,454.99,677,940,915,1339.95
20130925,,,,,,,,,,,,,,,354.54212,449.6674524,1112.402704,,,,,,,,199.99,348.95,164.99,349.99,677,940,905,1339.95
20130926,,,,,,,,,,,,,,,355.3015262,450.1117164,1115.676547,,,,,,,,199.99,350.475,164.99,349.99,674,915,905,1368.99
20130927,,,,,,,,,,,,,,,350.5174099,447.8376647,1112.212222,,,,,,,,199.99,352,164.99,329.99,660,915,898,1373.99
20130928,,,,,,,,,,,,,,,351.5735944,447.368777,1115.649387,,,,,,,,199.99,352,164.99,329.99,660,915,888,1349.99
20130929,,,,,,,,,,,,,,,351.4799941,447.2435195,1115.438184,,,,,,,,199.99,352,164.99,481.91,655,905,888,1349.99
20130930,,,,,,,,,,,,,,,351.4505737,447.2404957,1115.430642,,,,,,,,199.99,343.2,174.99,479.33,650,905,888,1349.99
20131001,,,,,,,,,,,,,,,351.7755264,448.1622101,1114.625843,,,,,,,,199.99,334.4,174.99,476.14,650,905,899.99,1348.99
20131002,,,,,,,,,,,,,,,351.6209038,447.5261243,1114.221656,,,,,,,,199.99,341.7,174.99,472.47,650,897.5,899.99,1299.99
20131003,,,,,,,,,,,,,,,353.0273265,449.8262375,1118.764452,,,,,,,,199.99,349,174.99,472.38,650,888,899.99,1348.99
20131004,,,,,,,,,,,,,,,353.914678,450.4195271,1121.662853,,,,,,,,199.99,341.7,174.99,470.91,648,888,899,1349.99
20131005,,,,,,,,,,,,,,,352.1080949,446.7047041,1116.023148,,,,,,,,199.99,334.4,174.99,469.25,648,899.99,899,1348.99
20131006,,,,,,,,,,,,,,,352.221808,445.9071959,1116.469512,,,,,,,,199.99,334.385,174.99,469.07,648,899.99,895.99,1348.99
20131007,,,,,,,,,,,,,,,352.20825,445.9343118,1116.469512,,,,,,,,199.99,334.37,174.99,329.99,644.99,899.99,880,1348.99
20131008,,,,,,,,,,,,,,,340.3095871,447.8993856,1117.956432,,,,,,,,199.99,334.16,174.99,329.99,638.62,899.99,859.99,1369.99
20131009,,,,,,,,,,,,,,,340.259698,447.8337238,1117.79254,,,,,,,,199.99,333.95,174.99,329.99,638.57,899,858.99,1368.99
20131010,,,,,,,,,,,,,,,338.7807838,445.887247,1112.934136,,,,,,,,199.99,309.47,174.99,329.99,637.62,899,878.95,1369.99
